trade_id,symbol,entry_time,entry_price,stop_loss_price,exit_price,exit_time,pnl_amount,pnl_pct,quantity
1,NITO,2025-05-05 04:26,0.4187,0.4098,0.4101,2025-05-05 04:28,-267.97,-2.53%,25280
2,UVIX,2025-05-05 04:52,41.6,41.4357,41.49,2025-05-05 05:01,-153.33,-0.27%,1369
3,NITO,2025-05-05 05:38,0.4151,0.4072,0.4074,2025-05-05 05:40,-370.09,-2.35%,37974
4,KWE,2025-05-05 06:10,8.45,7.3605,8.3625,2025-05-05 06:31,-49.24,-1.06%,550
5,BP,2025-05-05 07:12,29.01,28.9525,28.9649,2025-05-05 07:17,-798.07,-0.16%,16956
7,KOLD,2025-05-05 08:26,21.3883,21.2761,21.6249,2025-05-05 08:40,2352.01,1.10%,10026
8,NFXL,2025-05-05 08:38,51.59,51.0151,51.0501,2025-05-05 08:44,-211.89,-1.05%,391
6,CEP,2025-05-05 08:18,43.61,43.4344,46.0195,2025-05-05 08:54,7195.95,5.52%,2989
9,KIDZ,2025-05-05 08:53,6.7199,6.4989,6.63,2025-05-05 08:57,-249.42,-1.37%,2714
10,EWT,2025-05-05 09:05,53.29,53.1746,53.1773,2025-05-05 09:21,-148.98,-0.22%,1299
12,AIFF,2025-05-05 09:21,4.3,4.2224,4.2224,2025-05-05 09:22,-230.76,-1.85%,2899
13,CROX,2025-05-05 09:28,101.97,101.2183,101.2183,2025-05-05 09:29,-450.71,-0.74%,598
11,HIMZ,2025-05-05 09:18,24.55,24.459,24.5571,2025-05-05 09:30,21.08,0.02%,4120
14,NFXL,2025-05-05 09:28,52.21,51.7169,51.7292,2025-05-05 09:30,-293.57,-0.92%,608
24,LUV,2025-05-05 09:32,30.13,29.9402,30.03,2025-05-05 09:33,-80.58,-0.34%,790
25,TREE,2025-05-05 09:32,44.15,42.9277,42.9277,2025-05-05 09:33,-149.36,-2.77%,122
23,GDXD,2025-05-05 09:32,4.555,4.4863,4.488,2025-05-05 09:34,-1582.56,-1.52%,22925
21,AFRM,2025-05-05 09:32,52.4,51.6448,52.515,2025-05-05 09:36,44.86,0.22%,397
22,DUST,2025-05-05 09:32,30.43,30.0701,30.48,2025-05-05 09:36,90,0.16%,1875
27,CART,2025-05-05 09:34,46.33,45.8553,46.4,2025-05-05 09:38,21.42,0.15%,315
30,CONL,2025-05-05 09:35,18.025,17.7545,17.769,2025-05-05 09:38,-786.72,-1.43%,3049
28,IVF,2025-05-05 09:34,2.3299,2.1897,2.2696,2025-05-05 09:38,-599.89,-2.67%,9629
29,OSCR,2025-05-05 09:34,13.44,13.3688,13.435,2025-05-05 09:38,-14.74,-0.05%,2106
34,RBRK,2025-05-05 09:38,73.6414,73.4367,73.4367,2025-05-05 09:39,-302.82,-0.28%,1465
16,FNGA,2025-05-05 09:31,433.8963,429.7737,433.7545,2025-05-05 09:41,-5.18,-0.03%,36
17,FNGB,2025-05-05 09:31,15.83,15.724,15.8539,2025-05-05 09:41,170.45,0.14%,7783
15,EQT,2025-05-05 09:31,52.5,52.0019,52.57,2025-05-05 09:42,92.14,0.13%,1355
18,NVDL,2025-05-05 09:31,37.9001,37.6152,37.81,2025-05-05 09:42,-533.35,-0.24%,5791
33,GPUS,2025-05-05 09:37,3.62,3.357,3.4631,2025-05-05 09:44,-226.41,-4.39%,1425
20,SOFI,2025-05-05 09:31,12.6299,12.5086,12.655,2025-05-05 09:45,571.31,0.18%,24732
19,OMEX,2025-05-05 09:31,1.15,1.1019,1.1874,2025-05-05 09:47,1323.48,3.08%,37422
40,AXL,2025-05-05 09:46,4.22,4.1866,4.1903,2025-05-05 09:50,-284.47,-0.75%,8982
37,BABX,2025-05-05 09:44,30.87,30.7228,30.7581,2025-05-05 09:50,-464.34,-0.37%,4076
41,USD,2025-05-05 09:47,41.89,41.7516,41.7595,2025-05-05 09:50,-143.54,-0.32%,1083
39,ANET,2025-05-05 09:46,91.05,90.8354,90.8827,2025-05-05 09:51,-473.28,-0.19%,2795
43,DUOL,2025-05-05 09:50,497.25,495.5375,495.5674,2025-05-05 09:52,-146.56,-0.34%,87
45,NITO,2025-05-05 09:51,0.5136,0.5033,0.5033,2025-05-05 09:52,-268.68,-2.39%,21844
32,SNOW,2025-05-05 09:36,168.19,166.9818,168.0037,2025-05-05 09:52,-23.35,-0.11%,124
31,JDST,2025-05-05 09:36,13.27,13.141,13.2622,2025-05-05 09:53,-34.32,-0.07%,3488
42,ADMA,2025-05-05 09:48,23.815,23.6319,23.8113,2025-05-05 09:57,-4.67,-0.02%,819
46,ZCAR,2025-05-05 09:52,10.01,9.1018,10.205,2025-05-05 09:58,127.38,1.93%,660
44,LABD,2025-05-05 09:51,8.01,7.9739,7.9974,2025-05-05 10:00,-423.24,-0.18%,29085
38,PDD,2025-05-05 09:44,108.93,108.7778,109.58,2025-05-05 10:00,1915.49,0.59%,2956
54,CAVA,2025-05-05 10:01,97.9771,97.4836,97.4836,2025-05-05 10:02,-376.08,-0.51%,759
55,CG,2025-05-05 10:01,41.4,41.2471,41.2471,2025-05-05 10:02,-303.91,-0.37%,1962
36,CRWD,2025-05-05 09:43,442.5875,441.4318,449.12,2025-05-05 10:02,1266.92,1.48%,194
26,MSFU,2025-05-05 09:33,38.75,38.4436,38.992,2025-05-05 10:02,117.36,0.62%,489
56,COHR,2025-05-05 10:01,72.295,72.1205,72.1314,2025-05-05 10:04,-213.5,-0.23%,1289
35,FTAI,2025-05-05 09:42,93.2,92.232,94.7223,2025-05-05 10:04,352.72,1.63%,232
52,JANX,2025-05-05 10:00,30.365,30.0945,30.9375,2025-05-05 10:04,316.06,1.88%,554
60,KEX,2025-05-05 10:02,104.6,104.3149,104.3149,2025-05-05 10:04,-226.52,-0.27%,789
53,LOAR,2025-05-05 10:00,97.96,97.1618,97.2523,2025-05-05 10:04,-332.87,-0.72%,469
61,NXST,2025-05-05 10:02,155.84,155.2988,155.905,2025-05-05 10:04,17.45,0.04%,277
62,PSTG,2025-05-05 10:02,48.34,48.1713,48.1737,2025-05-05 10:04,-299.28,-0.35%,1778
57,DOCU,2025-05-05 10:01,83.09,82.9388,82.9621,2025-05-05 10:05,-128.91,-0.16%,992
59,IBKR,2025-05-05 10:01,182.03,181.4436,181.4699,2025-05-05 10:05,-215.3,-0.31%,383
63,RIG,2025-05-05 10:02,2.375,2.3547,2.3557,2025-05-05 10:05,-472.12,-0.90%,22167
49,UFPT,2025-05-05 09:55,211.24,207.7226,208.7005,2025-05-05 10:05,-216.03,-1.20%,85
58,GPK,2025-05-05 10:01,22.26,22.2071,22.305,2025-05-05 10:06,182.88,0.19%,4253
48,PYPL,2025-05-05 09:55,68.17,67.8943,68.1722,2025-05-05 10:06,0.34,0.00%,1632
64,TEX,2025-05-05 10:04,40.65,40.5244,40.5275,2025-05-05 10:06,-371.6,-0.31%,2985
50,LUMN,2025-05-05 09:56,3.925,3.9081,3.93,2025-05-05 10:07,119.82,0.08%,39940
51,IVF,2025-05-05 10:00,2.4119,2.3463,2.3666,2025-05-05 10:08,-108.12,-1.96%,2286
70,AIFF,2025-05-05 10:08,3.93,3.8699,3.8711,2025-05-05 10:10,-151.94,-1.55%,2495
72,EH,2025-05-05 10:08,19.295,19.184,19.1868,2025-05-05 10:10,-297.65,-0.57%,2702
73,LINE,2025-05-05 10:08,44.92,44.7512,44.7552,2025-05-05 10:10,-444.59,-0.37%,2665
75,RCL,2025-05-05 10:08,230.935,229.8568,230.69,2025-05-05 10:10,-68.67,-0.11%,278
68,TIGR,2025-05-05 10:06,9.115,9.0613,9.067,2025-05-05 10:10,-489.14,-0.55%,9776
65,UNH,2025-05-05 10:05,404.74,403.5253,403.8016,2025-05-05 10:10,-580.2,-0.23%,617
71,CNX,2025-05-05 10:08,30.63,30.5566,30.6,2025-05-05 10:12,-65.38,-0.10%,2043
66,GFL,2025-05-05 10:06,51.28,51.154,51.4,2025-05-05 10:12,210.63,0.23%,1785
74,MDXG,2025-05-05 10:08,6.67,6.3945,6.56,2025-05-05 10:12,-91.39,-1.68%,816
47,CABO,2025-05-05 09:53,158.861,155.9483,159.5,2025-05-05 10:13,32.49,0.40%,51
77,LAUR,2025-05-05 10:12,22.56,22.5325,22.5325,2025-05-05 10:13,-160.89,-0.13%,5454
69,ALKT,2025-05-05 10:07,27.32,27.1924,27.2616,2025-05-05 10:15,-177.57,-0.22%,2938
76,HE,2025-05-05 10:12,10.46,10.3704,10.43,2025-05-05 10:16,-214.27,-0.31%,6696
80,CRAI,2025-05-05 10:14,170.45,169.8919,169.8941,2025-05-05 10:18,-374.38,-0.33%,671
67,MSTZ,2025-05-05 10:06,5.215,5.1562,5.22,2025-05-05 10:18,91.84,0.06%,30612
81,CNK,2025-05-05 10:15,28.85,28.6958,28.76,2025-05-05 10:19,-402.68,-0.32%,4377
85,FIVN,2025-05-05 10:19,26.25,26.0915,26.0915,2025-05-05 10:20,-455.66,-0.61%,2839
83,NVST,2025-05-05 10:18,16.79,16.7398,16.7426,2025-05-05 10:21,-516.84,-0.29%,10458
84,XRX,2025-05-05 10:18,5.04,4.9989,5.005,2025-05-05 10:22,-405.08,-0.73%,10948
78,PATK,2025-05-05 10:12,82.77,82.5818,82.6092,2025-05-05 10:23,-454.1,-0.20%,2789
82,RL,2025-05-05 10:17,238,237.4565,238.1,2025-05-05 10:23,54,0.04%,551
87,OPTT,2025-05-05 10:21,0.495,0.4836,0.4847,2025-05-05 10:26,-973.31,-2.49%,78947
